hhmem_size,landuseha,cocoa_produce_kg,cocoa_produce_main_kg,cocoa_produce_light_kg,cocoa_sell_kg,hhgroup_m18,hhgroup_f18,hhgroup_m17,hhgroup_f17,cocoa_price_kg,screen_sharecrop,village,community_type,screen_sharecrop.1,hhgroup_m18.1,hhgroup_f18.1,hhgroup_m17.1,hhgroup_f17.1,femhead,econstatus,used_fert?,used_fert_lqd?,herbicide_yn,pesticide_yn,fungicide_yn,weeding_yn,pruning_yn,cocoa_intercrop,farm_rights,disease_loss,pest_loss,replant,shadetree_yn,doc_land,noncocoa,cocoa_yn,any_farm_above_1_21,hh_head_age,cocoa_yield_ha,cocoa_ages_0_5_weighted,cocoa_ages_6_10_weighted,cocoa_ages_11_19_weighted,cocoa_ages_20_30_weighted,cocoa_ages_31_weighted,age_weighted_total,cocoa_variety_1_1,cocoa_variety_1_2,cocoa_variety_1_3,cocoa_variety_1_4,cocoa_variety_1_5,cocoa_variety_1_97,cocoa_variety_2_2,cocoa_variety_2_3,cocoa_variety_2_4,cocoa_variety_2_5,cocoa_variety_2_97,cocoa_variety_3_2,cocoa_variety_3_3,cocoa_variety_3_4,cocoa_variety_3_5,cocoa_variety_3_97,cocoa_variety_4_2,cocoa_variety_4_3,cocoa_variety_4_4,cocoa_variety_4_5,cocoa_variety_4_97,noncocoa_whyno_1_1,noncocoa_whyno_1_10,noncocoa_whyno_1_11,noncocoa_whyno_1_2,noncocoa_whyno_1_3,noncocoa_whyno_1_4,noncocoa_whyno_1_5,noncocoa_whyno_1_6,noncocoa_whyno_1_9,noncocoa_whyno_1_97,noncocoa_whyno_2_1,noncocoa_whyno_2_10,noncocoa_whyno_2_11,noncocoa_whyno_2_2,noncocoa_whyno_2_3,noncocoa_whyno_2_4,noncocoa_whyno_2_5,noncocoa_whyno_2_6,noncocoa_whyno_2_8,noncocoa_whyno_2_9,noncocoa_whyno_2_97,noncocoa_whyno_3_1,noncocoa_whyno_3_10,noncocoa_whyno_3_11,noncocoa_whyno_3_2,noncocoa_whyno_3_3,noncocoa_whyno_3_4,noncocoa_whyno_3_7,noncocoa_whyno_3_8,noncocoa_whyno_3_9,noncocoa_whyno_3_97,noncocoa_whyno_4_1,noncocoa_whyno_4_11,noncocoa_whyno_4_2,noncocoa_whyno_4_3,noncocoa_whyno_4_4,noncocoa_whyno_4_5,noncocoa_whyno_4_8,noncocoa_whyno_4_9,noncocoa_whyno_4_97,noncocoa_whyno_5_1,noncocoa_whyno_5_11,noncocoa_whyno_5_2,noncocoa_whyno_5_3,noncocoa_whyno_5_9,noncocoa_whyno_5_97,yrs_grow_1,yrs_grow_2,yrs_grow_3,yrs_grow_4,yrs_grow_5,yrs_grow_6,lead_vill_0,lead_vill_1,lead_vill_1 10,lead_vill_1 3 5,lead_vill_1 5 6 10,lead_vill_10,lead_vill_10 11,lead_vill_10 13,lead_vill_10 97,lead_vill_11,lead_vill_12,lead_vill_12 13,lead_vill_12 97,lead_vill_13,lead_vill_13 97,lead_vill_3,lead_vill_3 5 13,lead_vill_3 7,lead_vill_3 7 12,lead_vill_4,lead_vill_4 9,lead_vill_4 9 10,lead_vill_5,lead_vill_5 6,lead_vill_5 6 11,lead_vill_6,lead_vill_6 10,lead_vill_6 10 13,lead_vill_6 11,lead_vill_6 13,lead_vill_6 7,lead_vill_6 9,lead_vill_6 97,lead_vill_7,lead_vill_7 10,lead_vill_7 9,lead_vill_7 97,lead_vill_8,lead_vill_9,lead_vill_9 10,lead_vill_9 13,lead_vill_97,shade_why1_1.0,shade_why1_2.0,shade_why1_3.0,shade_why1_4.0,shade_why1_5.0,shade_why1_6.0,shade_why1_97.0,region_4,region_5,region_6,region_7,district_41,district_51,district_52,district_53,district_54,district_61,district_62,district_64,district_70,district_71,district_72,district_73,district_74,district_75,district_76,ethnicity_0,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_97,religion_1.0,religion_2.0,religion_3.0,religion_4.0,religion_97.0,hh_head_education_0.0,hh_head_education_1.0,hh_head_education_2.0,hh_head_education_3.0,hh_head_education_4.0,hh_head_education_5.0,hh_head_education_6.0,hh_head_education_7.0,hh_head_education_8.0,hh_head_education_9.0,hh_head_education_97.0,hh_head_birthplace_0.0,hh_head_birthplace_1.0
3,4.0,1445.0,1105.0,340.0,1105.0,,,,,11.764705657958984,0,Koitienko,1,0,,,,,0,3,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,53.0,361.25,5.384615384615385,0.0,33.84615384615385,60.76923076923077,0.0,100.0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7,6.5,25.0,20.0,5.0,,,,,,,0,KLODIO,0,0,,,,,0,4,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,52.0,3.8461538461538463,100.0,0.0,0.0,0.0,0.0,100.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,2.0,467.5,212.5,255.0,212.5,,,,,1000.0,0,Ananguié,1,0,,,,,1,6,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,74.0,233.75,0.0,0.0,100.0,0.0,0.0,100.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1.0,153.0,100.0,53.0,,,,,,,0,BOHOUIN,0,0,,,,,0,2,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,23.0,153.0,100.0,0.0,0.0,0.0,0.0,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,19.0,100.0,60.0,40.0,,,,,,,0,KLODIO,0,0,,,,,0,8,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,35.0,5.2631578947368425,100.0,0.0,0.0,0.0,0.0,100.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
7,2.0,1500.0,1000.0,500.0,,,,,,,0,BEOUE,1,0,,,,,0,5,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,53.0,750.0,0.0,0.0,0.0,100.0,0.0,100.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3,0.0,455.0,325.0,130.0,325.0,,,,,1000.0,0,Assémanou,1,0,,,,,1,3,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,74.0,inf,0.0,10.64516129032258,46.45161290322581,42.90322580645161,0.0,100.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4.0,2500.0,2000.0,500.0,,,,,,,0,BOGUIé,0,0,,,,,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,67.0,625.0,0.0,0.0,0.0,75.0,25.0,100.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
7,4.0,700.0,490.0,210.0,490.0,,,,,1000.0,0,Akoikro,0,0,,,,,0,3,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,42.0,175.0,0.0,25.0,25.0,50.0,0.0,100.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,4.5,1030.0,600.0,430.0,,,,,,,0,N'Djorekro,0,0,,,,,0,8,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,66.0,228.88888888888889,25.0,75.0,0.0,0.0,0.0,100.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
