cocoa_ages_0_5_1,cocoa_ages_0_5_2,cocoa_ages_0_5_3,cocoa_ages_0_5_4,cocoa_ages_0_5_5,cocoa_ages_6_10_1,cocoa_ages_6_10_2,cocoa_ages_6_10_3,cocoa_ages_6_10_4,cocoa_ages_6_10_5,cocoa_ages_11_19_1,cocoa_ages_11_19_2,cocoa_ages_11_19_3,cocoa_ages_11_19_4,cocoa_ages_11_19_5,cocoa_ages_20_30_1,cocoa_ages_20_30_2,cocoa_ages_20_30_3,cocoa_ages_20_30_4,cocoa_ages_20_30_5,cocoa_ages_31_1,cocoa_ages_31_2,cocoa_ages_31_3,cocoa_ages_31_4,cocoa_ages_31_5
0.0,10.0,,,,0.0,0.0,,,,50.0,20.0,,,,50.0,70.0,,,,0.0,0.0,,,
100.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
0.0,,,,,0.0,,,,,100.0,,,,,0.0,,,,,0.0,,,,
100.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
100.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
0.0,,,,,0.0,,,,,0.0,,,,,100.0,,,,,0.0,,,,
0.0,0.0,,,,30.0,0.0,,,,40.0,50.0,,,,30.0,50.0,,,,0.0,0.0,,,
0.0,,,,,0.0,,,,,0.0,,,,,75.0,,,,,25.0,,,,
0.0,,,,,25.0,,,,,25.0,,,,,50.0,,,,,0.0,,,,
25.0,,,,,75.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
25.0,0.0,,,,75.0,0.0,,,,0.0,100.0,,,,0.0,0.0,,,,0.0,0.0,,,
0.0,,,,,0.0,,,,,0.0,,,,,100.0,,,,,0.0,,,,
10.0,,,,,60.0,,,,,30.0,,,,,0.0,,,,,0.0,,,,
0.0,0.0,,,,0.0,0.0,,,,100.0,100.0,,,,0.0,0.0,,,,0.0,0.0,,,
0.0,0.0,,,,30.0,80.0,,,,40.0,20.0,,,,30.0,0.0,,,,0.0,0.0,,,
30.0,,,,,0.0,,,,,70.0,,,,,0.0,,,,,0.0,,,,
5.0,,,,,3.0,,,,,0.0,,,,,0.0,,,,,92.0,,,,
0.0,,,,,0.0,,,,,75.0,,,,,25.0,,,,,0.0,,,,
0.0,,,,,0.0,,,,,70.0,,,,,30.0,,,,,0.0,,,,
0.0,,,,,0.0,,,,,100.0,,,,,0.0,,,,,0.0,,,,
0.0,,,,,100.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
70.0,100.0,,,,30.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,
60.0,100.0,,,,40.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,
15.0,,,,,25.0,,,,,60.0,,,,,0.0,,,,,0.0,,,,
30.0,,,,,0.0,,,,,0.0,,,,,70.0,,,,,0.0,,,,
20.0,,,,,20.0,,,,,60.0,,,,,0.0,,,,,0.0,,,,
0.0,,,,,100.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
0.0,,,,,25.0,,,,,0.0,,,,,75.0,,,,,0.0,,,,
8.0,,,,,18.0,,,,,55.0,,,,,19.0,,,,,0.0,,,,
0.0,,,,,0.0,,,,,100.0,,,,,0.0,,,,,0.0,,,,
10.0,,,,,60.0,,,,,30.0,,,,,0.0,,,,,0.0,,,,
0.0,,,,,0.0,,,,,0.0,,,,,100.0,,,,,0.0,,,,
0.0,,,,,0.0,,,,,100.0,,,,,0.0,,,,,0.0,,,,
0.0,0.0,0.0,,,0.0,0.0,0.0,,,100.0,100.0,100.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,
0.0,,,,,0.0,,,,,0.0,,,,,100.0,,,,,0.0,,,,
10.0,,,,,30.0,,,,,40.0,,,,,20.0,,,,,0.0,,,,
5.0,,,,,5.0,,,,,30.0,,,,,30.0,,,,,30.0,,,,
5.0,,,,,5.0,,,,,0.0,,,,,0.0,,,,,90.0,,,,
0.0,0.0,,,,0.0,100.0,,,,100.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,
30.0,,,,,70.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
0.0,0.0,,,,0.0,50.0,,,,70.0,50.0,,,,30.0,0.0,,,,0.0,0.0,,,
10.0,,,,,5.0,,,,,8.0,,,,,77.0,,,,,0.0,,,,
25.0,,,,,75.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
0.0,,,,,0.0,,,,,40.0,,,,,60.0,,,,,0.0,,,,
0.0,,,,,4.0,,,,,0.0,,,,,96.0,,,,,0.0,,,,
0.0,0.0,,,,0.0,100.0,,,,0.0,0.0,,,,100.0,0.0,,,,0.0,0.0,,,
15.0,,,,,25.0,,,,,20.0,,,,,15.0,,,,,25.0,,,,
50.0,,,,,50.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
0.0,,,,,0.0,,,,,100.0,,,,,0.0,,,,,0.0,,,,
50.0,25.0,,,,50.0,75.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,
