Column,Value,Count,Proportion
cocoa_intercrop_1,1.0,755,0.5016611295681063
cocoa_intercrop_1,0.0,738,0.49036544850498337
cocoa_intercrop_1,,12,0.007973421926910298
cocoa_intercrop_2,,1072,0.7122923588039867
cocoa_intercrop_2,0.0,233,0.1548172757475083
cocoa_intercrop_2,1.0,200,0.132890365448505
cocoa_intercrop_3,,1410,0.9368770764119602
cocoa_intercrop_3,0.0,70,0.046511627906976744
cocoa_intercrop_3,1.0,25,0.016611295681063124
cocoa_intercrop_4,,1477,0.9813953488372092
cocoa_intercrop_4,0.0,20,0.013289036544850499
cocoa_intercrop_4,1.0,8,0.0053156146179402
cocoa_intercrop_5,,1499,0.9960132890365448
cocoa_intercrop_5,0.0,5,0.0033222591362126247
cocoa_intercrop_5,1.0,1,0.000664451827242525
cocoa_yn_1,1.0,1493,0.9920265780730897
cocoa_yn_1,0.0,12,0.007973421926910298
cocoa_yn_2,0.0,541,0.359468438538206
cocoa_yn_2,,530,0.3521594684385382
cocoa_yn_2,1.0,434,0.28837209302325584
cocoa_yn_3,,1062,0.7056478405315615
cocoa_yn_3,0.0,348,0.23122923588039868
cocoa_yn_3,1.0,95,0.06312292358803986
cocoa_yn_4,,1331,0.8843853820598007
cocoa_yn_4,0.0,146,0.09700996677740864
cocoa_yn_4,1.0,28,0.018604651162790697
cocoa_yn_5,,1426,0.9475083056478405
cocoa_yn_5,0.0,73,0.04850498338870432
cocoa_yn_5,1.0,6,0.003986710963455149
disease_loss_1,1.0,1071,0.7116279069767442
disease_loss_1,0.0,417,0.2770764119601329
disease_loss_1,,17,0.011295681063122924
disease_loss_2,,1074,0.7136212624584718
disease_loss_2,1.0,217,0.14418604651162792
disease_loss_2,0.0,214,0.14219269102990034
disease_loss_3,,1410,0.9368770764119602
disease_loss_3,0.0,58,0.038538205980066444
disease_loss_3,1.0,37,0.02458471760797342
disease_loss_4,,1477,0.9813953488372092
disease_loss_4,0.0,15,0.009966777408637873
disease_loss_4,1.0,13,0.008637873754152824
disease_loss_5,,1499,0.9960132890365448
disease_loss_5,1.0,3,0.0019933554817275745
disease_loss_5,0.0,3,0.0019933554817275745
doc_land_1,0.0,957,0.6358803986710964
doc_land_1,1.0,540,0.3588039867109635
doc_land_1,,8,0.0053156146179402
doc_land_2,0.0,663,0.440531561461794
doc_land_2,,535,0.3554817275747508
doc_land_2,1.0,307,0.20398671096345514
doc_land_3,,1065,0.707641196013289
doc_land_3,0.0,298,0.19800664451827243
doc_land_3,1.0,142,0.09435215946843854
doc_land_4,,1332,0.8850498338870432
doc_land_4,0.0,116,0.07707641196013289
doc_land_4,1.0,57,0.03787375415282392
doc_land_5,,1426,0.9475083056478405
doc_land_5,0.0,49,0.03255813953488372
doc_land_5,1.0,30,0.019933554817275746
farm_rights_1,10.0,447,0.29700996677740865
farm_rights_1,1.0,351,0.23322259136212625
farm_rights_1,8.0,190,0.12624584717607973
farm_rights_1,,166,0.11029900332225914
