counter,pdf_var,dta_var,match_type,selected_dta_var
1,cocoa_ages_0_5_1,cocoa_ages_0_5_1,exact,cocoa_ages_0_5_1
2,cocoa_ages_6_10_1,cocoa_ages_6_10_1,exact,cocoa_ages_6_10_1
3,cocoa_ages_11_19_1,cocoa_ages_11_19_1,exact,cocoa_ages_11_19_1
4,cocoa_ages_20_30_1,cocoa_ages_20_30_1,exact,cocoa_ages_20_30_1
5,cocoa_ages_31_1,cocoa_ages_31_1,exact,cocoa_ages_31_1
6,cocoa_ages_0_5_2,cocoa_ages_0_5_2,exact,cocoa_ages_0_5_2
7,cocoa_ages_6_10_2,cocoa_ages_6_10_2,exact,cocoa_ages_6_10_2
8,cocoa_ages_11_19_2,cocoa_ages_11_19_2,exact,cocoa_ages_11_19_2
9,cocoa_ages_20_30_2,cocoa_ages_20_30_2,exact,cocoa_ages_20_30_2
10,cocoa_ages_31_2,cocoa_ages_31_2,exact,cocoa_ages_31_2
11,cocoa_ages_0_5_3,cocoa_ages_0_5_3,exact,cocoa_ages_0_5_3
12,cocoa_ages_6_10_3,cocoa_ages_6_10_3,exact,cocoa_ages_6_10_3
13,cocoa_ages_11_19_3,cocoa_ages_11_19_3,exact,cocoa_ages_11_19_3
14,cocoa_ages_20_30_3,cocoa_ages_20_30_3,exact,cocoa_ages_20_30_3
15,cocoa_ages_31_3,cocoa_ages_31_3,exact,cocoa_ages_31_3
16,cocoa_ages_0_5_4,cocoa_ages_0_5_4,exact,cocoa_ages_0_5_4
17,cocoa_ages_6_10_4,cocoa_ages_6_10_4,exact,cocoa_ages_6_10_4
18,cocoa_ages_11_19_4,cocoa_ages_11_19_4,exact,cocoa_ages_11_19_4
19,cocoa_ages_20_30_4,cocoa_ages_20_30_4,exact,cocoa_ages_20_30_4
20,cocoa_ages_31_4,cocoa_ages_31_4,exact,cocoa_ages_31_4
21,cocoa_ages_0_5_5,cocoa_ages_0_5_5,exact,cocoa_ages_0_5_5
22,cocoa_ages_6_10_5,cocoa_ages_6_10_5,exact,cocoa_ages_6_10_5
23,cocoa_ages_11_19_5,cocoa_ages_11_19_5,exact,cocoa_ages_11_19_5
24,cocoa_ages_20_30_5,cocoa_ages_20_30_5,exact,cocoa_ages_20_30_5
25,cocoa_ages_31_5,cocoa_ages_31_5,exact,cocoa_ages_31_5
26,cocoa_age_s_31,cocoa_ages_tot_3 | cocoa_ages_31_3 | cocoa_ages_20_30_1 | cocoa_ages_0_5_1 | cocoa_ages_31_1 | cocoa_ages_tot_1 | cocoa_ages_31_4 | cocoa_ages_0_5_3 | cocoa_ages_6_10_1 | cocoa_ages_31_5 | cocoa_ages_31_2 | cocoa_ages_6_10_2 | cocoa_ages_6_10_5 | cocoa_ages_6_10_4 | cocoa_ages_6_10_3,fuzzy,cocoa_ages_tot_3 | cocoa_ages_31_3 | cocoa_ages_20_30_1 | cocoa_ages_0_5_1 | cocoa_ages_31_1 | cocoa_ages_tot_1 | cocoa_ages_31_4 | cocoa_ages_0_5_3 | cocoa_ages_6_10_1 | cocoa_ages_31_5 | cocoa_ages_31_2 | cocoa_ages_6_10_2 | cocoa_ages_6_10_5 | cocoa_ages_6_10_4 | cocoa_ages_6_10_3
