,hhmem_size_1,hhmem_age_1,hhmem_married_1,hhmem_age_2,hh_relate_3,hhmem_age_3,hhmem_age_4,hhmem_age_5,illness_5,hhmem_age_6,illness_6,hhmem_age_7,childu18_num,child5_17_num,adultm_num,adultf_num,econstatus,yrs_grow,cocoa_wgt,fert_buy,fert_cost,fert_lqd_cost,herbicide_buy_cnt,pesticide_buy_cnt,pesticide_cost,farm_a_1,farm_yracquired_1,farm_rights_1,farm_time_1,farm_km_1,farm_reserve_1,cocoa_years_1,cocoa_lndamnt_1,cocoa_variety_1,cocoa_ages_0_5_1,cocoa_ages_6_10_1,cocoa_ages_11_19_1,cocoa_ages_20_30_1,shadetree_num_1,shadetree_calc_1_1,shadetree_label_1_1,shade_tree_tot_1_1,shade_natural_1_1,shade_planted_1_1,shadetree_calc_1_2,shadetree_label_1_2,shade_tree_tot_1_2,shade_planted_1_2,shadetree_label_1_3,shadetree_tot2_1,pesticide_app_1,pesticide_num_app_1,pesticide_area_app_1,labor_hh_1,fam_worker_prep_1_1,disease_1,disease_year_1_1,disease_location_1_1,pest_1,doc_land_cocoa_yr_1,farm_a_2,farm_yracquired_2,farm_time_2,farm_km_2,farm_reserve_2,shadetree_tot2_2,noncocoa_affecthow,noncocoa_pay,days_random_a,random_c_options,income_source,fwildlifedied_1,ffladder_elders_1,ffladder_lmb_1,ffladder_frstdpt_1,rules_violate_1,likelihood_help3,trust_nbr,trust_lmb,trust_ca,chickens,sleeprooms,toilet,today,cocoa_price_kg,farm_a_1_acres,farm_a_2_acres,cocoa_produce
0,16,34,0,30,3,3,71,58,0,55,0,50,1,1,1,1,3,4,26,0,49,49,33,47,40,36,35,1,7,9,32,16,46,18,0,0,25,21,10,10,16,43,22,39,19,14,1,2,0,17,15,48,57,36,12,1,0,5,80,52,40,23,29,29,29,16,0,22,2,1,15,48,8,7,9,20,3,2,3,3,2,8,9,6,13,63,8,64
1,20,33,5,46,7,21,26,18,2,50,11,2,6,4,4,2,4,0,31,0,49,49,33,47,40,1,55,2,13,12,0,33,1,21,3,0,0,0,1,21,5,26,0,24,30,0,45,43,0,1,15,48,57,46,0,12,2,3,31,52,40,48,0,18,0,1,0,22,3,2,15,49,1,5,1,4,4,2,1,2,0,10,9,20,54,1,8,122
2,11,55,3,36,16,81,71,58,0,55,0,50,0,0,1,1,6,3,26,0,31,49,33,47,40,36,9,1,20,49,53,8,34,21,0,0,3,0,1,29,4,0,1,0,30,0,45,43,0,1,3,17,24,1,49,1,0,5,47,52,49,54,44,51,51,20,0,2,0,0,4,0,10,10,10,0,3,3,0,3,50,8,1,13,8,63,50,215
3,16,3,5,14,7,65,71,58,0,55,0,50,1,1,1,1,2,0,31,0,49,49,17,1,35,7,52,1,35,17,20,44,1,23,3,0,0,0,1,18,18,26,17,0,30,0,45,43,0,1,3,0,1,45,0,1,0,5,7,52,49,54,44,51,51,20,65,13,1,4,0,0,10,10,10,0,1,2,0,2,50,0,10,34,54,32,50,52
4,18,15,0,28,3,6,9,1,50,55,0,50,7,4,1,2,8,0,31,1,24,49,0,42,28,33,51,0,14,26,53,44,34,21,3,0,0,0,0,30,0,53,31,48,30,0,45,43,0,0,8,44,24,46,0,8,2,0,83,52,26,42,1,10,42,0,32,13,4,3,54,49,6,10,7,18,1,0,2,2,0,10,9,20,54,65,35,5
5,20,34,0,29,7,20,10,57,2,50,2,12,7,4,3,2,5,3,31,0,31,49,33,17,27,14,42,7,22,26,53,23,15,21,0,0,0,2,1,29,4,22,16,0,30,0,45,43,0,1,3,17,10,1,0,8,3,0,38,34,1,51,1,8,51,1,0,22,4,3,0,0,10,10,10,0,5,3,3,3,50,8,9,41,54,52,2,50
6,16,55,3,1,9,78,71,58,0,55,0,50,6,4,0,1,3,5,13,0,9,24,33,47,40,36,60,12,12,39,33,23,34,21,0,13,21,12,1,1,23,16,13,0,30,0,45,43,0,1,15,48,57,59,10,3,3,4,48,17,31,54,22,43,31,1,18,6,4,3,0,2,8,8,1,6,3,2,3,4,50,0,10,5,8,63,43,267
7,0,48,3,88,16,81,71,58,0,55,0,50,0,0,1,0,4,5,31,0,10,1,33,47,40,60,16,1,12,48,53,30,53,21,0,0,0,31,0,30,0,53,31,48,30,0,45,43,0,0,15,48,57,1,0,8,2,3,1,52,49,54,44,51,51,20,0,2,0,0,0,0,10,10,10,0,5,2,0,2,50,9,10,3,54,91,50,124
8,20,23,0,30,7,8,6,57,1,42,35,0,9,6,3,1,3,4,15,0,49,49,33,24,31,75,36,1,35,45,22,15,53,18,0,10,10,21,13,6,24,48,27,0,1,23,34,1,20,16,3,31,38,46,45,2,1,3,50,6,49,54,44,51,51,20,56,2,0,0,0,51,0,0,1,0,3,2,4,4,50,10,9,19,8,21,50,3
9,17,47,0,44,7,13,8,58,0,55,0,50,1,1,1,3,8,1,31,0,49,40,30,24,3,78,41,10,16,15,53,1,34,21,15,35,0,0,1,19,15,52,30,0,30,0,45,43,0,1,3,44,24,7,23,1,0,5,1,52,49,54,44,51,51,20,49,7,3,2,7,0,1,1,1,2,4,4,4,4,30,9,0,17,54,24,50,10
